character
Zygmunt Budge
Foul-smelling Snatcher
Fortunade Lestrange
Fortinbras
Forest Vault Acromantula
Forbidden Forest Trader
Fluffy
Floxel Lestrange
Florence's boyfriend
Florence
Florean Fortescue
Flora Carrow
Flora Buchanan
Floella Foss
Fleur Delacour
Fleamont Potter
Flavius Flint
Flavius Belby
Flannery
Firenze
Fiona Belmont
Finn
Fingal the Fearless
Finch
Finbar Quigley
Filius Flitwick
Filemina Alchin
Fifi LaFolle
Fiery Death Eater
Fidelio
Fernando Diaz
Fergus Cowley
Ferdinand da Gama
Ferdinand Jägendorf
Fenrir Greyback
Fenella Flowerday
Felix Summerbee
Felix Rosier
Felix Brunt
Felicity Eastchurch
Felicitania Tugwood
Fay Dunbar
Fawkes
Fawcett
Faris Spavin
Fang
Fallen Fifty
Fallen Fifty
Falco Tremblay
Falco Lestrange
Falco Aesalon
Face Paint Kid
Fabius Watkins
Fabian Prewett
Evil sorcerer
Everett Clopton
Everard
Evangeline Orpington
Evan Rosier
Eustace Fawley
Eustace Burke
Eurig Cadwallader
Eupraxia Mole
Euphraïlde Lestrange
Euphemia Rowle
Euphemia Potter
Eunice Murray
Eunice Cabanart
Eulalie Hicks
Eugenia Jenkins
Eugene Warmsley
Eugene McAllister
Eugene Belcher
Euan Abercrombie
Ethelred the Ever-Ready
Ethelbard Mordaunt
Ethan Parkin
Ethan Gerard
Ethan Bexley
Estaban Stubbe
Esposito
Esme Page
Errol
Ernesto Jags
Ernestina Abutor
Ernest Prang
Ernest Macmillan
Ernest Hawkworth
Ermessende Lestrange
Erling the Great
Erika Rath
Erika Ostensen
Erich Ludendorff
Erica Stainwright
Eric Whalley
Eric Murley
Eric Munch
Enoch Acidus
Enid Smeek
Enid Pettigrew
Enid Longbottom
Emmeline Vance
Emmeline Vance
Emma Vanity
Emma Squiggle
Emma Dobbs
Emily Tyler
Emily Taylor
Emily Rappaport
Emily Mather
Emeric the Evil
Emeric Switch
Emerett Picardy
Emanuel Hurwitz
Elveira Elkins
Elton Elderberry
Elspeth MacGillony
Elsie Valentine Schroeder
Elsie Prod
Elsie Barrett
Elsie
Elsbeth McCormick
Elric Parpidum
Elphinstone Urquart
Elphinstone Forgot
Elphias Doge
Elora Dunn
Eloise Mintumble
Eloise Midgen
Elodie Dembélé
Elliot Smethwyck
Elliot Evers
Ellie Dowson
Ellie Cattermole
Ellen Cracknell
Elladora Ketteridge
Elladora Guffy
Elladora Black
Ella Wilkins
Ella Wilkins
Ella Max
Ella Jo
Elizabeth Smudgling
Elizabeth Mkapa
Elizabeth McGilliguddy
Elizabeth 
Elizabeth Burke
Elicia Scales
Elicia
Elias Grimstone
Eliana
Elfrida Cragg
Elfrida Clagg
Elfric the Eager
Elena Eldritch
Eleazar Fig
Eleanora Shanks
Eleanor Sarah Gibbs
Eleanor Branstone
Eldritch Diggory
Eldred Worple
Eldon Pembroke
Eldon Elsrickle
Ekrizdis
Eileen Prince
Egmont Hobday
Eglantine Puffett
Eglantine Lestrange
Egbert the Egregious
Edwin Halsted
Edwin Booth
Edwin Avarus
Edwardus Lima
Edward Tonks
Edward Rabnott
Edward Lupin
Edward Fountain
Edward Almeida Peidus
Eduardus Limus
Eduardus Limette Black
Eduardus Lima
Eduardo Lima Filho
Eduaphora Mergus
Edric Vosper
Edna Patridge
Edmund Spiers
Edmund Major
Edmund Grubb
Edmund Gaddlegate
Edmund Bollifant
Edith Newton
Edith Nesbit
Edith Abernathy
Edith
Edgecombe
Edgar Wallace
Edgar Stroulger
Edgar Cloggs
Edgar Bones
Edessa Sakndenberg
Eddie Carmichael
Eddi Stoddy
Earl of Paunchley
Eargit the Ugly
Dzou Yen
Dymphna Furmage
Dylan Marwood
Duncan Knottingley
Duncan Inglebee
Duncan Ashe
Dunbar Oglethorpe
Duke of Wellington
Dugald McPhail
Dugald McClivert
Dudley Dursley
Dudley
Druella Black
Dragomir Gorgovitch
Draco Malfoy
Doxy Queen
Douglas Steward
Dougal McGregor
Dougal McBride
Dougal
Double-ended-newt wizard
Dotty McNiven
Dorothy Sheridan
Doris Purkiss
Doris Irlam
Doris Crockford
Dorian Fungbury
Dorea Black
Dorcus Twelvetrees
Dorcas Wellbeloved
Dorcas Meadowes
Dora Williams
Donaghan Tremlett
Don Harrison
Dominique Weasley
Dominic Maestro
Dominic
Dolores Umbridge
Dodie Smith
Dobby
Distractible Douglas
Dishevelled Wizard
Dirk Cresswell
Dirk
Dirgah Hagrid
Dinaz Zac
Dinaz Zac
Dinah Stevenson
Dinah Hecat
Dimitar Draganov
Dilys Derwent
Dietrich Frenzen
Diego Caplan
Diane Launier
Diane Carter
Diadema Goshawk
Dexter Fortescue
Devlin Whitehorn
Derwent Shimpling
Derek
Dennis Moon
Dennis Creevey
Dennis Bishop
Dennis Aldermaston
Denison Frisby
Dempster Wiggleswade
Demetrius Prod
Demelza Robins
Delphini
Deliverance Dane
Delfina Crimp
Deek
Dedalus Diggle
Declan Haworth
Debbie Muntz
Debbie Amy
Dean Thomas
Day maid at Leaky Cauldron
Dawn Withey
Dawn Withey
Davies
David Nolton
David Makehay
David Hamblin
David Boorman
David Blishen
Davey Gudgeon
Davet Dumont
Dave Monk
Daryle
Daryl Morden
Darren O'Hare
Darren Floyd
Darrel Turner
Darius Smackhammer
Darius Berrow
Darenne Lestrange
Daphne Wenlock
Daphne Mauboisan
Daphne Maldon
Daphne Greengrass
Danny Kershaw
Danielle Amorinus
Daniel Radcliffe
Daniel Page
Daniel Defoe
Dan Darker
Damon Gosforth
Damocles Rowle
Damocles Belby
Damien Bandrel
Damian Perriss
Damara Dodderidge
Daisy Twemlove
Daisy Pennifold
Daisy Hookum
Daisy Dodderidge
Daisy Corran
Dai Ryusaki
Dai Llewellyn
Dagbert Pips
Céléase Lestrange
Céleste Bergne
Cyrille Lestrange 
Cyril Meakin
Cyprien Alesi
Cyprian Youdle
Cygnus Black 
Cyclops
Cybèle Peltier
Cuthbert Mockridge
Cuthbert Binns
Curtis Evercreech
Curt Hanger
Crookshanks
Crispin Cronk
Cresswell brothers
Credence Barebone
Crapaud
Cranville Quincey
Craig Dunn
Craig Bowker Junior
Crabbe
Count Dracula
Count
Cottismore Croyne
Cosme Acajor
Corvus Lestrange 
Corvinus Gaunt
Corrine Cribb
Cornelius Fudge's wife
Cornelius Fudge
Cornelius Agrippa
Cormack McLeod
Cormac O'Brien
Cormac McLaggen
Cordelia Vexmoor
Cordelia Vexmoor
Cordelia Misericordia
Cordelia Gifford
Corban Yaxley
Constance Pickering
Constance Dagworth
Connolly
Concordia Rowle
Concepta Battista
Colin Creevey
Cole Spencer
Cole
Colby Frey
Clyde Sizemore
Clutterbuck Crispe
Clodagh Dromgoole
Clive Lundquist
Cliodna
Clifford Kessler
Clever goblin
Clarke
Clarisse Lestrange
Clara Thompson
Clara Ivanova
Clairvius Hyppolite
Circe
Ciceron Harkiss
Chroniculus Punnet
Christopher Hemsley
Christopher Flack
Christian Alexander
Chrisp
Chris Lunney
Chris Huhne
Chris Garland
Cho Chang
Chief Snatcher
Chie Shinohara
Chiara Lobosca
Chester Hidland
Chester Davies
Chavelle Arbelo Cartaya
Chauncey Oldridge
Chastity Barebone
Charlus Potter's son
Charlus Potter
Charlie Stainforth
Charlie Farley
Charlie Baverstock
Charlesetta Nagy
Charles Weasley
Charles Pikal
Charles Machin
Charles Epanel
Charles Edwards
Charles Dickens
Charles Demengeot
Charles Dana Gibson
Charlatan
Charity Wilkinson
Charity Burbage
Charis Black
Chandra Amble
Chambers
Chadwick Boot
Cereus Greengrass
Ceremony official
Cerberus Langarm
Celine Castillon
Celia Barnett
Celestina Warbeck
Celestina Warbeck
Cedric Diggory
Cedrella Black
Cecilia Gallerani
Cecil Shetland
Cecil Lee
Cecil Edwards
Cauã Nemerus
Catullus Spangle
Catriona McCormack
Catherine Tyler
Catchpole
Cassius Warrington
Cassius Bell
Cassiopeia Black
Cassandra Vole
Cassandra Vole
Cassandra Vablatsky
Cassandra Vablatsky
Cassandra Trelawney
Cassandra Mason
Caspar Crouch
Cas Carneirus
Carrow
Caroline Purvis
Carmilla Sanguina
Carmen Garcia
Carlyle Bimplethorpe
Carlotta Pinkstone
Carlos Lopez
Carlos Eduardos
Carlos Clodoaldo
Carl Smiley
Carl Sagan
Carl Hopkins
Caradoc Dearborn
Caractacus Phelps
Caractacus Burke
Caractacus
Cantankerus Nott
Cameron Boyle
Camelia
Calvin Coolidge
Calvert Tillery
Callum McClintock
Callidora Black
Calid
Calchas
Caesar
Caelan MacBoon
Caelan
Cadwallader
Cadogan
Cadmus Peverell
Byron Miller
Butterbeer enthusiast
Burgock
Burdock Muldoon
Bunty Broadacre
Budleigh Babberton milkman
Buckley Cooper
Buckbeak
Brutus Scrimgeour
Brutus Malfoy
Brutus
Bruno Schmidt
Bruno Bruunhart
Brunhilde Stokke
Brothers Grimm
Broom Shop shopkeeper
Bronwyn Trigg
Broderick Bode
Britannia
Brindlemore
Bridget Wenlock
Bridget
Brice Badeaux
Brian Gallagher
Brian Gagwilde
Brian Cinderford
Brian
Brevis Birch
Brennan Doyle
Brendon Halkirk
Brandon Angel
Bran the Bloodthirsty
Bram Stoker
Bradley
Bozo
Boyle
Bowman Wright
Bowen Duffield
Borys the Brute
Boris the Bewildered
Boris Vulchanov
Borgin
Borf
Borboleta
Boniface Toubeau
Boniface
Bonhabille
Bonawentura Wójcik
Bogrod
Bogomil Levski
Bogle-banshee
Bodrod the Bearded
Bob Ollerton
Bob Ogden
Bob Hitchens
Bob
Blythe Parkin
Bly
Blossom Degrasse
Blordak
Bloody Baron
Blodwyn Bludd
Bletchley 
Blenheim Stalk
Blaise Zabini
Blagdon Blay
Black Knight
Binky
Bimp
Bilton Bilmes
Billy Stubbs
Billingsley
Bill Ollerton
Bill Clinton
Bilius Finbok
Bilius
Biko Kisawahi
Bhupen Shastri
Bhavana Patel
Betty Huxley
Betty Burgess
Betty Braithwaite
Betty Bickering
Bethany Swordbane
Bethany Harrison
Beryl
Bertram Aubrey
Bertie Higgs
Bertie Bott
Berthilde Roche
Bertha Jorkins
Bernie
Bernard Tremblay
Bernard Maltby
Bernard Lockwood
Bernadette Beauchene
Bernadette
Bennett Burgess
Benjy Williams
Benjy Fenwick
Benjamin Slater
Benjamin McEwen
Benedita Dourado
Benedict
Ben Copper
Bem
Belvina Black
Bellatrix Lestrange
Bella Farley
Beedle the Bard
Bedivere
Becky Arncliffe
Beaumont Marjoribanks
Beatrix Bloxam
Beatrice Haywood
Bean
Bathsheda Babbling
Bathilda Bagshot
Bastien Queensbury
Bastien Janvier
Basil Silva
Basil Horton
Basil Fronsac
Basil Flack
Basil Aurelius 
Basil
Baruffio
Bartholomew Barebone
Bartholomew
Bartemius Crouch Junior
Barry Winkle
Barry Ryan
Barry Rochester
Barrett Fay
Barny the Fruitbat
Barnaby Snell
Barnaby Ollerton
Barnaby Lee
Barnabus Finkley
Barnabus Blenkinsop
Barnabas the Barmy
Barnabas Deverill
Barnabas Cuffe
Barker 
Barberus Bragge
Banga O'Deluga
Bane
Bandon Banshee
Ball Guest
Balfour Blane
Bald Healer
Balbine Lestrange
Baglan Wellnelly
Badgered Boy
Badger Picklish
Badeea Ali
Babbitty Rabbitty
Babayaga
Babajide Akingbade
Avery
Avery Hawksworth
Austin Guthrie
Aurélie Dumont
Aurora Sinistra
Aurora Dillon
Augustus Worme
Augustus Rookwood
Augustus Pye
Augusta Longbottom
Audrey Weasley
Audrey Weasley
Atsushi Takagi
Astrix Alixan
Astoria Greengrass
Astor Bellchant
Asma Rahman
Ashok Khanna
Ashley Sanders
Ashish Patel
Asha
Asgeir Knutsen
Asgard Pettersson
Arturo Cephalopos
Arthur Weasley
Artemius Lawson
Artemisia Lufkin
Artemis
Arsenius Jigger
Arsenia Gonzales
Aron Woodbridge
Arnulf Moe
Arnold Vogler
Arnold Streeton
Arnold Peasegood
Arnold Guzman
Arnold
Armenian warlock
Armando Dippet
Armand Malfoy
Arman Shettigar
Arlene Piper
Arkie Philpott
Arkie Alderton
Arjuna Balaji
Aristotle Twelvetrees
Arif Sikander
Ariel Singleton
Ariana Dumbledore
Argus Filch
Argo Pyrites
Arcus
Arcturus Black 
Architect of Hogwarts
Archie Aymslowe
Archibald Bienbon
Archibald Bennett
Archibald Alderton
Archer Evermonde
Archana Shetty
Arcadinho
Aravind Chaudhary
Araminta Meliflua Black
Aragog
Arabella Figg
Aquila Greengrass
Apothecary shopkeeper
Apollyon Pringle
Apolline Delacour
Antonio
Antonin Dolohov
Antonia Creaseworthy
Anton Vogel's bodyguard
Anton Vogel
Antioch Peverell
Anthony Rickett
Anthony Otterburn
Anthony Goldstein
Annis Black
Anne Sallow
Anne Boleyn
Annalena Gleam
Annabel Entwhistle
Anna Mirfield
Anna Hill-Hall
Anna Chiwawa
Anji Oliver
Anjali Kapoor
Anita Macduff
Angus McMangus
Angus Matlock
Angus Fleet
Angus Campbell
Angus Buchanan
Angus
Angry wizard
Angelus Peel
Angelus Moriattis
Angelo Benitez
Angelina Johnson's father
Angelina Johnson
Angelina Appleby
Angelica Cole
Andy Smudgley
Andros the Invincible
Andromeda Tonks
Andrew Saxby
Andrew Owly
Andrew Kirke
Andrew Cleveley
Andrew
Andrea Kegworth
Andre Egwu's sister
Andre Egwu's grandmother
Andre Egwu
Anderson
Ancient African sorcerer
Ananyo Dhillon
Ana de Lebron
Amycus Carrow
Amy Frome
Amy Benson
Amrose Swott
Amrish Gupta
Amos Hopkins
Amos Diggory
Amorette Deneuve
Amit Thakkar
Amina Qureshi
Amelia Fittleworth
Amelia Bones
Ambrosius Flume's wife
Ambrosius Flume
Ambrose Turner
Amber Noel
Amata
Amarillo Lestoat
Amanda Pettet
Amanda
Alys
Alvin Simmons
Altheda
Alphard Black
Alonzo Zema
Almeric Sawbridge
Alma
Allison Barnes
Alistaire Ballcocke
Alistair Thaxted
Alistair Fidgen
Alistair Darling
Alistair Ballcocke
Alison Denshaw
Alison Denbright
Aliko Okoye
Alicia Spinnet
Alice Tolipan 
Alice Longbottom
Alice
Ali Bashir
Alguff the Awful
Algie Longbottom
Alfred Cattermole
Alexis Marie
Alexia Walkin Black
Alexei Levski
Alexandra Walker
Alexandra Walker
Alexandra Rokonski
Alexander William
Alexander Pope
Alex Wednesbury
Alex Sykes 
Alejandra Alonso
Alecto Carrow
Alec Webb
Alderton
Albus Potter
Albus Dumbledore
Albino peacock
Alberto Macellarius
Alberta Toothill
Albert Tillyman
Albert Stump
Albert Sallow
Albert Runcorn
Albert Perschky
Albert McCausland
Albert Jorkins
Albert Einstein
Albert Boot
Albert Bellchant
Albert
Alberic Grunnion
Alastor Moody's mother
Alastor Moody's father
Alastor Moody
Alastor Gumboil
Alastair
Alasdair Maddock
Alanza Alves
Alannis Shepley
Alannis
Alain Lacroix
Aki Sugiyama
Aisha
Aiden O'Connor
Aidan Lynch
Aidan Kiely
Agnes Nutt
Agnes Monkleigh
Agnes
Agilbert Fontaine
Aged witch
Agatha Timms
Agatha Thrussington
Agatha Chubb
African prince
Aesop Sharp
Adrian Tutley
Adrian Speke
Adrian Pucey
Adelaide Murton
Addison Fawley
Adam Pickering
Adalbert Waffling
Acolyte thug
Achilles Tolliver
Abraxas Malfoy
Abraham Ronen
Abraham Potter
Abraham Peasegood
Abraham Grimblehawk
Abraham
Able Spudmore
Able Fleming
Abigail Pugh
Abigail Nicola
Abernathy
Aberforth Dumbledore
Abel Treetops
Aamir Loonat
