sentence,entities,character_entities
"“Whatever House I’m in, I hope she’s not in it,” said 
Ron.",['Ron'],['Ron']
"“Gryffindor,” said Ron.",['Ron'],['Ron']
"

“That’s the House Vol-, I mean, You-Know-Who was 
in?” 



“Yeah,” said Ron.","['House', 'Ron']",['Ron']
"“You know, I think the ends of Scabbers’ whiskers are 
a bit lighter,” said Harry, trying to take Ron’s mind off 
Houses.","['Harry', 'Ron', 'Houses']",['Ron']
"“Charlie’s in Romania studying dragons, and Bill’s in 
Africa doing something for Gringotts,” said Ron.","['Charlie’s', 'Romania', 'Bill’s', 'Africa', 'Gringotts', 'Ron']",['Ron']
Ron asked.,['Ron'],['Ron']
Ron looked dumbfounded.,['Ron'],['Ron']
"“And my names Malfoy, Draco Malfoy.”","['Malfoy', 'Draco Malfoy']",['Malfoy']
"

Ron gave a slight cough, which might have been 
hiding a snigger.",['Ron'],['Ron']
"You hang around with riffraff like the 
Weasleys and that Hagrid, and it’ll rub off on you.”",['Hagrid'],['Hagrid']
"

Both Harry and Ron stood up.","['Harry', 'Ron']",['Ron']
"

“Say that again,” Ron said, his face as red as his hair.",['Ron'],['Ron']
"“Unless you get out now,” said Harry, more bravely 
than he felt, because Crabbe and Goyle were a lot 
bigger than him or Ron. 

","['Harry', 'Crabbe', 'Ron']",['Ron']
"

Goyle reached toward the Chocolate Frogs next to 
Ron — Ron leapt forward, but before he’d so much as 
touched Goyle, Goyle let out a horrible yell.","['Goyle', 'the Chocolate Frogs', 'Ron', 'Ron', 'Goyle, Goyle']","['Ron', 'Ron']"
"Scabbers the rat was hanging off his finger, sharp 
little teeth sunk deep into Goyle ’s knuckle — Crabbe 
and Malfoy backed away as Goyle swung Scabbers 
round and round, howling, and when Scabbers finally 
flew off and hit the window, all three of them 
disappeared at once.","['Goyle ’s', 'Malfoy', 'Goyle', 'three']",['Malfoy']
"she said, looking at the 
sweets all over the floor and Ron picking up Scabbers 
by his tail. 

",['Ron'],['Ron']
"“I think he’s been knocked out,” Ron said to Harry. 

","['Ron', 'Harry']",['Ron']
“You’ve met Malfoy before?”,['Malfoy'],['Malfoy']
"“I’ve heard of his family,” said Ron darkly.",['Ron'],['Ron']
"

“Scabbers has been fighting, not us,” said Ron, 
scowling at her.",['Ron'],['Ron']
"



Ron glared at her as she left.",['Ron'],['Ron']
"He and Ron took off their jackets and pulled on their 
long black robes.",['Ron'],['Ron']
"Ron’s were a bit short for him, you 
could see his sneakers underneath them.",['Ron'],['Ron']
"

Harry’s stomach lurched with nerves and Ron, he 
saw, looked pale under his freckles.","['Harry', 'Ron']",['Ron']
"

Slipping and stumbling, they followed Hagrid down 
what seemed to be a steep, narrow path.",['Hagrid'],['Hagrid']
"Harry and Ron were followed into their boat by Neville 
and Hermione. 

","['Harry', 'Ron', 'Neville', 'Hermione']",['Ron']
"“Everyone in?” shouted Hagrid, who had a boat to 
himself.",['Hagrid'],['Hagrid']
"“Heads down!” yelled Hagrid as the first boats reached 
the cliff; they all bent their heads and the little boats 
carried them through a curtain of ivy that hid a wide 
opening in the cliff face.","['Hagrid', 'first']",['Hagrid']
"Is this your toad?” said Hagrid, who 
was checking the boats as people climbed out of 
them.",['Hagrid'],['Hagrid']
"Then they clambered up a passageway in the 
rock after Hagrid’s lamp, coming out at last onto 
smooth, damp grass right in the shadow of the castle.",['Hagrid'],['Hagrid']
"“The firs’ years, Professor McGonagall,” said Hagrid.","['McGonagall', 'Hagrid']","['McGonagall', 'Hagrid']"
"

“Thank you, Hagrid.",['Hagrid'],['Hagrid']
"They followed Professor McGonagall across the 
flagged stone floor.",['McGonagall'],['McGonagall']
"Harry could hear the drone of 
hundreds of voices from a doorway to the right — the 
rest of the school must already be here — but 
Professor McGonagall showed the first years into a 
small, empty chamber off the hall.","['Harry', 'hundreds', 'McGonagall', 'the first years']",['McGonagall']
"

“Welcome to Hogwarts,” said Professor McGonagall. 
","['Welcome to Hogwarts', 'McGonagall']",['McGonagall']
"

Her eyes lingered for a moment on Neville’s cloak, 
which was fastened under his left ear, and on Ron’s 
smudged nose.","['Neville', 'Ron']",['Ron']
"

“I shall return when we are ready for you,” said 
Professor McGonagall.",['McGonagall'],['McGonagall']
"he asked 
Ron. 



",['Ron'],['Ron']
"Any second now, Professor McGonagall would come 
back and lead him to his doom.","['second', 'McGonagall']",['McGonagall']
"

Professor McGonagall had returned.",['McGonagall'],['McGonagall']
"“Now, form a line,” Professor McGonagall told the first 
years, “and follow me.”","['McGonagall', 'the first \nyears']",['McGonagall']
"

Feeling oddly as though his legs had turned to lead, 
Harry got into line behind a boy with sandy hair, with 
Ron behind him, and they walked out of the chamber, 
back across the hall, and through a pair of double 
doors into the Great Hall. 

","['Harry', 'Ron', 'the Great Hall']",['Ron']
"Ron whispered to 
Harry.","['Ron', 'Harry']",['Ron']
"Professor McGonagall now stepped forward holding a 
long roll of parchment.",['McGonagall'],['McGonagall']
"“Brocklehurst, Mandy” went to Ravenclaw too, but 
“Brown, Lavender” became the first new Gryffindor, 
and the table on the far left exploded with cheers; 
Harry could see Ron’s twin brothers catcalling.","['Brocklehurst, Mandy', 'Ravenclaw', 'Brown', 'Lavender', 'first', 'Harry', 'Ron']",['Ron']
"Ron groaned. 

",['Ron'],['Ron']
"At the end 
nearest him sat Hagrid, who caught his eye and gave 
him the thumbs up.",['Hagrid'],['Hagrid']
"Harry spotted Professor Quirrell, too, the nervous 
young man from the Leaky Cauldron.","['Harry', 'Quirrell', 'Leaky Cauldron']",['Quirrell']
"“Thomas, Dean,” a Black boy even taller than Ron, 
joined Harry at the Gryffindor table.","['Thomas, Dean', 'Ron', 'Harry', 'Gryffindor']",['Ron']
"“Turpin, Lisa,” 
became a Ravenclaw and then it was Ron’s turn.","['Turpin', 'Lisa', 'Ravenclaw', 'Ron']",['Ron']
"

Harry clapped loudly with the rest as Ron collapsed 
into the chair next to him.","['Harry', 'Ron']",['Ron']
"

“Well done, Ron, excellent,” said Percy Weasley 
pompously across Harry as “Zabini, Blaise,” was 
made a Slytherin.","['Ron', 'Percy Weasley', 'Harry', 'Zabini, Blaise', 'Slytherin']",['Ron']
"Professor McGonagall rolled up her 
scroll and took the Sorting Hat away. 

",['McGonagall'],['McGonagall']
"

“I know who you are!” said Ron suddenly.",['Ron'],['Ron']
"He 
was right next to Malfoy who, Harry was pleased to 

Page | 139 Harry Potter and the Philosophers Stone - J.K. Rowling 




see, didn’t look too pleased with the seating 
arrangements.","['Malfoy', 'Harry', '139', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling']",['Malfoy']
"

“What about you, Neville?” said Ron. 

","['Neville', 'Ron']",['Ron']
"Professor McGonagall 
was talking to Professor Dumbledore.","['McGonagall', 'Dumbledore']","['McGonagall', 'Dumbledore']"
"Professor 
Quirrell, in his absurd turban, was talking to a 
teacher with greasy black hair, a hooked nose, and 
sallow skin.",['Quirrell'],['Quirrell']
"The hook-nosed teacher 
looked past Quirrell’s turban straight into Harry’s 
eyes — and a sharp, hot pain shot across the scar on 
Harry’s forehead.","['Quirrell', 'Harry', 'Harry']",['Quirrell']
“Who’s that teacher talking to Professor Quirrell?”,['Quirrell'],['Quirrell']
"“Oh, you know Quirrell already, do you?",['Quirrell'],['Quirrell']
"Knows an awful lot 
about the Dark Arts, Snape.”","['the Dark Arts', 'Snape']",['Snape']
"

Harry watched Snape for a while, but Snape didn’t 
look at him again.","['Harry', 'Snape', 'Snape']","['Snape', 'Snape']"
"

“Must be,” said Percy, frowning at Dumbledore.","['Percy', 'Dumbledore']",['Dumbledore']
"

“And now, before we go to bed, let us sing the school 
song!” cried Dumbledore.",['Dumbledore'],['Dumbledore']
"“Everyone pick their favorite tune,” said Dumbledore, 
“and off we go!”",['Dumbledore'],['Dumbledore']
"Ron muttered to Harry through 
the hangings.","['Ron', 'Harry']",['Ron']
"

Harry was going to ask Ron if he’d had any of the 
treacle tart, but he fell asleep almost at once. 

","['Harry', 'Ron']",['Ron']
"Harry told the turban he didn’t want 
to be in Slytherin; it got heavier and heavier; he tried 
to pull it off but it tightened painfully — and there 
was Malfoy, laughing at him as he struggled with it — 
then Malfoy turned into the hook-nosed teacher, 
Snape, whose laugh became high and cold — there 
was a burst of green light and Harry woke, sweating 
and shaking. 

","['Harry', 'Slytherin', 'Malfoy', 'Malfoy', 'Snape', 'Harry']","['Malfoy', 'Malfoy', 'Snape']"
"Harry and Ron managed to get 
on the wrong side of him on their very first morning. 
","['Harry', 'Ron']",['Ron']
"He 
wouldn’t believe they were lost, was sure they were 
trying to break into it on purpose, and was 
threatening to lock them in the dungeons when they 
were rescued by Professor Quirrell, who was passing.",['Quirrell'],['Quirrell']
"Professor Flitwick, the Charms teacher, was a tiny 
little wizard who had to stand on a pile of books to 
see over his desk.","['Flitwick', 'Charms']",['Flitwick']
Professor McGonagall was again different.,['McGonagall'],['McGonagall']
"By the end of the lesson, only Hermione 
Granger had made any difference to her match; 
Professor McGonagall showed the class how it had 
gone all silver and pointy and gave Hermione a rare 
smile.","['Hermione \nGranger', 'McGonagall']",['McGonagall']
"The class everyone had really been looking forward to 
was Defense Against the Dark Arts, but Quirrell’s 
lessons turned out to be a bit of a joke.","['Defense Against the Dark Arts', 'Quirrell']",['Quirrell']
"For one thing, when Seamus 
Finnigan asked eagerly to hear how Quirrell had 
fought off the zombie, Quirrell went pink and started 
talking about the weather; for another, they had 
noticed that a funny smell hung around the turban, 
and the Weasley twins insisted that it was stuffed full 
of garlic as well, so that Quirrell was protected 
wherever he went.","['one', 'Seamus', 'Finnigan', 'Quirrell', 'Quirrell', 'Weasley', 'Quirrell']","['Quirrell', 'Quirrell', 'Quirrell']"
"There was so 
much to learn that even people like Ron didn’t have 
much of a head start.",['Ron'],['Ron']
"

Friday was an important day for Harry and Ron.","['Friday', 'an important day', 'Harry', 'Ron']",['Ron']
"Harry asked Ron as he 
poured sugar on his porridge.","['Harry', 'Ron']",['Ron']
"

“Double Potions with the Slytherins,” said Ron. 
","['Double Potions with the Slytherins', 'Ron']",['Ron']
"Professor 
McGonagall was head of Gryffindor House, but it 
hadn’t stopped her from giving them a huge pile of 
homework the day before.","['McGonagall', 'Gryffindor House', 'the day before']",['McGonagall']
"Hagrid 

Harry borrowed Ron’s quill, scribbled Yes, please, see 
you later on the back of the note, and sent Hedwig off 
again.","['Harry', 'Ron', 'Hedwig']",['Ron']
"It was lucky that Harry had tea with Hagrid to look 
forward to, because the Potions lesson turned out to 
be the worst thing that had happened to him so far.","['Harry', 'Hagrid', 'Potions']",['Hagrid']
"At the start-of-term banquet, Harry had gotten the 
idea that Professor Snape disliked him.","['Harry', 'Snape']",['Snape']
Snape didn’t dislike Harry — he hated him.,"['Snape', 'Harry']",['Snape']
"Snape, like Flitwick, started the class by taking the 
roll call, and like Flitwick, he paused at Harry’s name. 

","['Flitwick', 'Flitwick', 'Harry’s']","['Flitwick', 'Flitwick']"
"Snape finished calling 
the names and looked up at the class.",['Snape'],['Snape']
"His eyes were 
black like Hagrid ’s, but they had none of Hagrid ’s 

Page | 152 Harry Potter and the Philosophers Stone - J.K. Rowling 




warmth.","['Hagrid', 'Hagrid', '152', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling']","['Hagrid', 'Hagrid']"
"He spoke in barely more 
than a whisper, but they caught every word — like 
Professor McGonagall, Snape had the gift of keeping a 
class silent without effort.","['McGonagall', 'Snape']","['McGonagall', 'Snape']"
"Harry and 
Ron exchanged looks with raised eyebrows.","['Harry', 'Ron']",['Ron']
"

“Potter!” said Snape suddenly.",['Snape'],['Snape']
"Harry 
glanced at Ron, who looked as stumped as he was; 
Hermione ’s hand had shot into the air.","['Harry', 'Ron', 'Hermione']",['Ron']
"He had looked through his books at 
the Dursleys’, but did Snape expect him to remember 
everything in One Thousand Magical Herbs and 
Fungi ? 

","['Dursleys', 'Snape', 'One', 'Fungi']",['Snape']
"Over the noise, Snape said, “And a point 
will be taken from Gryffindor House for your cheek, 
Potter.”","['Snape', 'Gryffindor House', 'Potter']",['Snape']
"He swept around in his long black cloak, 
watching them weigh dried nettles and crush snake 
fangs, criticizing almost everyone except Malfoy, 
whom he seemed to like.",['Malfoy'],['Malfoy']
"He was just telling everyone 
to look at the perfect way Malfoy had stewed his 
horned slugs when clouds of acid green smoke and a 
loud hissing filled the dungeon.",['Malfoy'],['Malfoy']
"“Idiot boy!” snarled Snape, clearing the spilled potion 
away with one wave of his wand.","['Idiot', 'Snape', 'one']",['Snape']
"Then he rounded on Harry and Ron, who 
had been working next to Neville. 

","['Harry', 'Ron', 'Neville']",['Ron']
"

This was so unfair that Harry opened his mouth to 
argue, but Ron kicked him behind their cauldron. 

“Don’t push it,” he muttered, “I’ve heard Snape can 
turn very nasty.”","['Harry', 'Ron', 'Snape']","['Ron', 'Snape']"
"He’d lost two points for Gryffindor in his very 
first week — why did Snape hate him so much?","['two', 'Snape']",['Snape']
"“Cheer up,” said Ron, “Snape’s always taking points 
off Fred and George.","['Cheer up', 'Ron', 'Snape’s', 'Fred', 'George']",['Ron']
"Can I come and meet Hagrid 
with you?”",['Hagrid'],['Hagrid']
"Then Hagrid ’s 
voice rang out, saying, “Back, Fang — back.”","['Hagrid', 'Back, Fang — back']",['Hagrid']
"“Make yerselves at home,” said Hagrid, letting go of 
Fang, who bounded straight at Ron and started 
licking his ears.","['Hagrid', 'Ron']","['Hagrid', 'Ron']"
"Like Hagrid, Fang was clearly not as 
fierce as he looked.","['Hagrid', 'Fang']",['Hagrid']
"

“This is Ron,” Harry told Hagrid, who was pouring 
boiling water into a large teapot and putting rock 
cakes onto a plate.","['Ron', 'Harry', 'Hagrid']","['Ron', 'Hagrid']"
"

“Another Weasley, eh?” said Hagrid, glancing at Ron’s 
freckles.","['Hagrid', 'Ron']","['Hagrid', 'Ron']"
"

The rock cakes were shapeless lumps with raisins 
that almost broke their teeth, but Harry and Ron 
pretended to be enjoying them as they told Hagrid all 
about their first lessons.","['Harry', 'Ron', 'Hagrid', 'first']","['Ron', 'Hagrid']"
"Harry and Ron were delighted to hear Hagrid call 
Filch “that old git.”","['Harry', 'Ron', 'Hagrid', 'Filch']","['Ron', 'Hagrid']"
"

Harry told Hagrid about Snape’s lesson.","['Harry', 'Hagrid', 'Snape']","['Hagrid', 'Snape']"
"Hagrid, like 
Ron, told Harry not to worry about it, that Snape 
liked hardly any of the students.","['Ron', 'Harry', 'Snape']","['Ron', 'Snape']"
"

“Rubbish!” said Hagrid.",['Hagrid'],['Hagrid']
"Yet Harry couldn’t help thinking that Hagrid didn’t 
quite meet his eyes when he said that.","['Harry', 'Hagrid']",['Hagrid']
Hagrid asked Ron.,['Ron'],['Ron']
"

Harry wondered if Hagrid had changed the subject on 
purpose.","['Harry', 'Hagrid']",['Hagrid']
"While Ron told Hagrid all about Charlie’s 
work with dragons, Harry picked up a piece of paper 
that was lying on the table under the tea cozy.","['Ron', 'Hagrid', 'Charlie', 'Harry']","['Ron', 'Hagrid']"
"Harry remembered Ron telling him on the train that 
someone had tried to rob Gringotts, but Ron hadn’t 
mentioned the date. 

“Hagrid!” said Harry, “that Gringotts break-in 
happened on my birthday!","['Harry', 'Ron', 'Gringotts', 'Ron', 'Harry', 'Gringotts']","['Ron', 'Ron']"
"

There was no doubt about it, Hagrid definitely didn’t 
meet Harry’s eyes this time.","['Hagrid', 'Harry']",['Hagrid']
"Hagrid had emptied vault seven 
Page | 158 Harry Potter and the Philosophers Stone - J.K. Rowling 




hundred and thirteen, if you could call it emptying, 
taking out that grubby little package.","['Hagrid', 'seven', '158', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'hundred']",['Hagrid']
"As Harry and Ron walked back to the castle for 
dinner, their pockets weighed down with rock cakes 
they’d been too polite to refuse, Harry thought that 
none of the lessons he’d had so far had given him as 
much to think about as tea with Hagrid.","['Harry', 'Ron', 'Harry', 'Hagrid']","['Ron', 'Hagrid']"
"And did Hagrid know something about Snape 
that he didn’t want to tell Harry? 



","['Hagrid', 'Snape', 'Harry']","['Hagrid', 'Snape']"
"Still, first-year Gryffindors only had 
Potions with the Slytherins, so they didn’t have to put 
up with Malfoy much.","['first-year', 'Slytherins', 'Malfoy']",['Malfoy']
"To make a fool of myself on a broomstick in 
front of Malfoy.”",['Malfoy'],['Malfoy']
"“You don’t know that you’ll make a fool of yourself,” 
said Ron reasonably.",['Ron'],['Ron']
"Even Ron would tell 
anyone who’d listen about the time he’d almost hit a 
hang glider on Charlie’s old broom.","['Ron', 'Charlie']",['Ron']
"Ron had already had a big argument with Dean 
Thomas, who shared their dormitory, about soccer. 
","['Ron', 'Dean \nThomas']",['Ron']
"Ron couldn’t see what was exciting about a game with 
only one ball where no one was allowed to fly.","['Ron', 'only one']",['Ron']
"Harry 
had caught Ron prodding Dean’s poster of West Ham 
soccer team, trying to make the players move.","['Harry', 'Ron', 'Dean', 'West Ham']",['Ron']
"Harry hadn’t had a single letter since Hagrid’s note, 
something that Malfoy had been quick to notice, of 
course.","['Harry', 'Hagrid', 'Malfoy']","['Hagrid', 'Malfoy']"
Harry and Ron jumped to their feet.,"['Harry', 'Ron']",['Ron']
"They were half 
hoping for a reason to fight Malfoy, but Professor 
McGonagall, who could spot trouble quicker than any 
teacher in the school, was there in a flash. 

","['half', 'Malfoy']",['Malfoy']
"Harry and 
Ron were delighted when she told Malfoy he’d been 
doing it wrong for years.","['Harry', 'Ron', 'Malfoy', 'years']","['Ron', 'Malfoy']"
"Page | 164 Harry Potter and the Philosophers Stone - J.K. Rowling 




No sooner were they out of earshot than Malfoy burst 
into laughter.","['164', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Malfoy']",['Malfoy']
"“Shut up, Malfoy,” snapped Parvati Patil.","['Malfoy', 'Parvati Patil']",['Malfoy']
"

“Look!” said Malfoy, darting forward and snatching 
something out of the grass.",['Malfoy'],['Malfoy']
"

“Give that here, Malfoy,” said Harry quietly.","['Malfoy', 'Harry']",['Malfoy']
"Harry yelled, but Malfoy had leapt onto 
his broomstick and taken off.","['Harry', 'Malfoy']",['Malfoy']
"He pulled his broomstick up a 
little to take it even higher, and heard screams and 
gasps of girls back on the ground and an admiring 
whoop from Ron. 

",['Ron'],['Ron']
"He turned his broomstick sharply to face Malfoy in 
midair.",['Malfoy'],['Malfoy']
"

“Oh, yeah?” said Malfoy, trying to sneer, but looking 
worried. 

",['Malfoy'],['Malfoy']
"He leaned forward 
and grasped the broom tightly in both hands, and it 
shot toward Malfoy like a javelin.",['Malfoy'],['Malfoy']
"“No Crabbe and Goyle up here to save your neck, 
Malfoy,” Harry called.","['No Crabbe and Goyle', 'Malfoy', 'Harry']",['Malfoy']
"

“Never — in all my time at Hogwarts — ” 

Professor McGonagall was almost speechless with 
shock, and her glasses flashed furiously, “ — how dare 
you — might have broken your neck — ” 

“It wasn’t his fault, Professor — ” 

“Be quiet, Miss Patil — ” 

“But Malfoy — ” 

“That’s enough, Mr. Weasley.","['McGonagall', 'Patil', 'Weasley']",['McGonagall']
"

Harry caught sight of Malfoy, Crabbe, and Goyle’s 
triumphant faces as he left, walking numbly in 
Professor McGonagall’s wake as she strode toward the 
castle.","['Harry', 'Malfoy, Crabbe', 'Goyle’s', 'McGonagall']",['McGonagall']
"Professor McGonagall was sweeping along without 
even looking at him; he had to jog to keep up.",['McGonagall'],['McGonagall']
"Page | 167 Harry Potter and the Philosophers Stone - J.K. Rowling 




Up the front steps, up the marble staircase inside, 
and still Professor McGonagall didn’t say a word to 
him.","['167', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'McGonagall']",['McGonagall']
Maybe she was taking him to Dumbledore.,['Dumbledore'],['Dumbledore']
"He 
thought of Hagrid, expelled but allowed to stay on as 
gamekeeper.",['Hagrid'],['Hagrid']
"Perhaps he could be Hagrid’s assistant. 
",['Hagrid'],['Hagrid']
"His stomach twisted as he imagined it, watching Ron 
and the others becoming wizards while he stumped 
around the grounds carrying Hagrid’s bag. 

","['Ron', 'Hagrid']","['Ron', 'Hagrid']"
"Professor McGonagall stopped outside a classroom. 
",['McGonagall'],['McGonagall']
"

“Excuse me, Professor Flitwick, could I borrow Wood 
for a moment?” 

",['Flitwick'],['Flitwick']
"But Wood turned out to be a person, a burly fifth-year 
boy who came out of Flitwick’s class looking 
confused.","['Wood', 'fifth-year', 'Flitwick']",['Flitwick']
"

“Follow me, you two,” said Professor McGonagall, and 
they marched on up the corridor, Wood looking 
curiously at Harry. 

","['two', 'McGonagall', 'Harry']",['McGonagall']
"

Professor McGonagall pointed them into a classroom 
that was empty except for Peeves, who was busy 
writing rude words on the blackboard.","['McGonagall', 'Peeves']",['McGonagall']
"Professor McGonagall slammed the door 
behind him and turned to face the two boys. 



","['McGonagall', 'two']",['McGonagall']
"

“Are you serious, Professor?” 

“Absolutely,” said Professor McGonagall crisply.",['McGonagall'],['McGonagall']
"“He caught that thing in his hand after a fifty-foot 
dive,” Professor McGonagall told Wood.","['fifty-foot', 'McGonagall']",['McGonagall']
",” Professor 
McGonagall explained. 

",['McGonagall'],['McGonagall']
"

“I shall speak to Professor Dumbledore and see if we 
can’t bend the first-year rule.","['Dumbledore', 'first-year']",['Dumbledore']
"...” 

Professor McGonagall peered sternly over her glasses 
at Harry. 

","['McGonagall', 'Harry']",['McGonagall']
"Harry had just finished telling Ron 
what had happened when he’d left the grounds with 
Professor McGonagall.","['Harry', 'Ron', 'McGonagall']","['Ron', 'McGonagall']"
"Ron had a piece of steak and 
kidney pie halfway to his mouth, but he’d forgotten all 
about it. 

",['Ron'],['Ron']
"

Ron was so amazed, so impressed, he just sat and 
gaped at Harry.","['Ron', 'Harry']",['Ron']
"

“I’d take you on anytime on my own,” said Malfoy. 
",['Malfoy'],['Malfoy']
"Never heard of a 
wizard’s duel before, I suppose?” 

“Of course he has,” said Ron, wheeling around.",['Ron'],['Ron']
"

When Malfoy had gone, Ron and Harry looked at each 
other. 

","['Ron', 'Harry']",['Ron']
"“And what do 
you mean, you’re my second?” 

“Well, a second’s there to take over if you die,” said 
Ron casually, getting started at last on his cold pie. 
","['second', 'second', 'Ron']",['Ron']
"

“And what if I wave my wand and nothing happens?” 

“Throw it away and punch him on the nose,” Ron 
suggested.",['Ron'],['Ron']
"

“Can’t a person eat in peace in this place?” said Ron. 

",['Ron'],['Ron']
"“I couldn’t help overhearing what you and Malfoy 
were saying — ” 

“Bet you could,” Ron muttered.","['Malfoy', 'Ron']","['Malfoy', 'Ron']"
"“Good-bye,” said Ron. 

",['Ron'],['Ron']
"Ron had spent 
all evening giving him advice such as “If he tries to 
curse you, you’d better dodge it, because I can’t 
remember how to block them.”",['Ron'],['Ron']
"

“Half-past eleven,” Ron muttered at last, “we’d better 
go.”","['Half-past eleven', 'Ron']",['Ron']
"

“You!” said Ron furiously.",['Ron'],['Ron']
"

“Come on,” he said to Ron.",['Ron'],['Ron']
"She 
followed Ron through the portrait hole, hissing at 
them like an angry goose. 

“Don’t you care about Gryffindor, do you only care 
about yourselves, / don’t want Slytherin to win the 
House Cup, and you’ll lose all the points I got from 
Professor McGonagall for knowing about Switching 
Spells.”","['Ron', 'Gryffindor', 'Slytherin', 'House Cup', 'McGonagall', 'Switching \nSpells']","['Ron', 'McGonagall']"
"

“That’s your problem,” said Ron.",['Ron'],['Ron']
"

“You’ve got some nerve — ” said Ron loudly.",['Ron'],['Ron']
"“Mrs. Norris?” breathed Ron, squinting through the 
dark.","['Norris', 'Ron']",['Ron']
"

Ron looked at his watch and then glared furiously at 
Hermione and Neville. 

","['Ron', 'Hermione', 'Neville']",['Ron']
"

Hermione opened her mouth, perhaps to tell Ron 
exactly how to use the Curse of the Bogies, but Harry 
hissed at her to be quiet and beckoned them all 
forward. 

","['Ron', 'Harry']",['Ron']
"Harry took out his wand in case Malfoy leapt in 
and started at once.","['Harry', 'Malfoy']",['Malfoy']
"“He’s late, maybe he’s chickened out,” Ron whispered.",['Ron'],['Ron']
"Neville suddenly let out a frightened squeak 
and broke into a run — he tripped, grabbed Ron 
around the waist, and the pair of them toppled right 
into a suit of armor.",['Ron'],['Ron']
"“We’ve got to get back to Gryffindor Tower,” said Ron, 
“quickly as possible.”","['Gryffindor Tower', 'Ron']",['Ron']
"He was never going to meet 
you — Filch knew someone was going to be in the 
trophy room, Malfoy must have tipped him off.”",['Malfoy'],['Malfoy']
"

“Get out of the way,” snapped Ron, taking a swipe at 
Peeves — this was a big mistake.",['Ron'],['Ron']
"Ron moaned, as they pushed helplessly at 
the door, “We’re done for!",['Ron'],['Ron']
"“What do they think they’re doing, keeping a thing 
like that locked up in a school?” said Ron finally.",['Ron'],['Ron']
"

Ron stared after her, his mouth open.",['Ron'],['Ron']
"What had Hagrid said? 
",['Hagrid'],['Hagrid']
"Page | 182 Harry Potter and the Philosophers Stone - J.K. Rowling 




10 




HALLOWEEN 

Malfoy couldn’t believe his eyes when he saw that 
Harry and Ron were still at Hogwarts the next day, 
looking tired but perfectly cheerful.","['182', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', '10', 'Harry', 'Ron', 'the next day']",['Ron']
"Indeed, by the 
next morning Harry and Ron thought that meeting 
the three-headed dog had been an excellent 
adventure, and they were quite keen to have another 
one.","['next morning', 'Harry', 'Ron', 'three']",['Ron']
"In the meantime, Harry filled Ron in about the 
package that seemed to have been moved from 
Gringotts to Hogwarts, and they spent a lot of time 
wondering what could possibly need such heavy 
protection. 

","['Harry', 'Ron', 'Gringotts']",['Ron']
"“It’s either really valuable or really dangerous,” said 
Ron. 

",['Ron'],['Ron']
"Hermione was now refusing to speak to Harry and 
Ron, but she was such a bossy know-it-all that they 
saw this as an added bonus.","['Harry', 'Ron']",['Ron']
"All they really wanted 
now was a way of getting back at Malfoy, and to their 
great delight, just such a thing arrived in the mail 
about a week later.","['Malfoy', 'about a week later']",['Malfoy']
"Professor M. McGonagall 

Harry had difficulty hiding his glee as he handed the 
note to Ron to read.","['M. McGonagall', 'Harry', 'Ron']",['Ron']
"Ron moaned enviously. 
",['Ron'],['Ron']
"

Ron couldn’t resist it. 

",['Ron'],['Ron']
"What did you say you’ve got at home, 
Malfoy, a Comet Two Sixty?”",['Malfoy'],['Malfoy']
"Ron grinned at Harry. 
","['Ron', 'Harry']",['Ron']
"

Before Ron could answer, Professor Flitwick appeared 
at Malfoy’s elbow.","['Ron', 'Flitwick', 'Malfoy’s']","['Ron', 'Flitwick']"
"“Yes, yes, that’s right,” said Professor Flitwick, 
beaming at Harry.","['Flitwick', 'Harry']",['Flitwick']
"“Professor McGonagall told me all 
about the special circumstances, Potter.","['McGonagall', 'Potter']",['McGonagall']
"“And it’s really thanks to Malfoy here that I’ve got it,” 
he added. 

",['Malfoy'],['Malfoy']
"Harry and Ron headed upstairs, smothering their 
laughter at Malfoy’s obvious rage and confusion.","['Harry', 'Ron', 'Malfoy’s']",['Ron']
"“Yes, don’t stop now,” said Ron, “it’s doing us so 
much good.”",['Ron'],['Ron']
"He bolted his 
dinner that evening without noticing what he was 
eating, and then rushed upstairs with Ron to unwrap 
the Nimbus Two Thousand at last.","['Ron', 'Nimbus']",['Ron']
"“Wow,” Ron sighed, as the broomstick rolled onto 
Harry’s bedspread.","['Ron', 'Harry']",['Ron']
"“I see what 
McGonagall meant ... you really are a natural.",['McGonagall'],['McGonagall']
"Even better, Professor Flitwick announced 
in Charms that he thought they were ready to start 
making objects fly, something they had all been dying 
to try since they’d seen him make Neville’s toad zoom 
around the classroom.","['Flitwick', 'Charms', 'Neville']",['Flitwick']
"Professor Flitwick put the 
class into pairs to practice.",['Flitwick'],['Flitwick']
"It was hard to 
tell whether Ron or Hermione was angrier about this. 
","['Ron', 'Hermione']",['Ron']
"

“Now, don’t forget that nice wrist movement we’ve 
been practicing!” squeaked Professor Flitwick, 
perched on top of his pile of books as usual.",['Flitwick'],['Flitwick']
